model_name,precision,architecture,size_category,parameters,latency_ms,throughput_sps,peak_memory_mb,model_size_mb,actual_quantization_method,simulated_accuracy,stability_score,speedup,memory_reduction_pct
vit-base-224-production,fp16,ViT-Base-224-Production,production_ready,86000000.0,3.81,262.44,176.25,164.77,fp16_half_precision,0.85,0.95,1.005249343832021,48.126673926479675
vit-base-224-production,int8_bitsandbytes,ViT-Base-224-Production,production_ready,86000000.0,21.89,45.68,94.95,83.77,bitsandbytes_int8_success,0.85,0.95,0.17496573777980812,72.05462518762693
vit-base-224-production,int4_nf4,ViT-Base-224-Production,production_ready,86000000.0,22.04,45.38,94.95,83.77,bitsandbytes_int8_success,0.85,0.95,0.1737749546279492,72.05462518762693
dino-vitb16-production,fp32,DINO-ViT-Base-Production,production_ready,86000000.0,3.82,261.64,339.77,329.55,fp32_baseline,0.85,0.95,1.0,0.0
dino-vitb16-production,fp16,DINO-ViT-Base-Production,production_ready,86000000.0,3.88,257.52,176.25,164.77,fp16_half_precision,0.85,0.95,0.9845360824742267,48.126673926479675
dino-vitb16-production,int8_bitsandbytes,DINO-ViT-Base-Production,production_ready,86000000.0,27.53,36.32,95.0,83.77,bitsandbytes_int8_success,0.85,0.95,0.13875771885216126,72.03990935044294
dino-vitb16-production,int4_nf4,DINO-ViT-Base-Production,production_ready,86000000.0,27.34,36.57,95.0,83.77,bitsandbytes_int8_success,0.85,0.95,0.1397220190197513,72.03990935044294
dino-vits16-production,fp32,DINO-ViT-Small-Production,production_ready,22000000.0,3.74,267.69,93.56,83.21,fp32_baseline,0.85,0.95,1.0,0.0
dino-vits16-production,fp16,DINO-ViT-Small-Production,production_ready,22000000.0,3.89,257.34,52.48,41.61,fp16_half_precision,0.85,0.95,0.9614395886889461,43.90765284309535
dino-vits16-production,int8_bitsandbytes,DINO-ViT-Small-Production,production_ready,22000000.0,28.45,35.15,31.82,21.36,bitsandbytes_int8_success,0.85,0.95,0.13145869947275923,65.98973920478836
dino-vits16-production,int4_nf4,DINO-ViT-Small-Production,production_ready,22000000.0,26.81,37.3,31.82,21.36,bitsandbytes_int8_success,0.85,0.95,0.13950018649757553,65.98973920478836
deit-base-distilled-384-edge,fp32,DeiT-Base-Distilled-Edge,edge_optimized,87000000.0,8.07,123.99,340.89,330.67,fp32_baseline,0.85,0.95,1.0,0.0
deit-base-distilled-384-edge,fp16,DeiT-Base-Distilled-Edge,edge_optimized,87000000.0,3.81,262.71,176.81,165.33,fp16_half_precision,0.85,0.95,2.1181102362204727,48.13282877174455
deit-base-distilled-384-edge,int8_bitsandbytes,DeiT-Base-Distilled-Edge,edge_optimized,87000000.0,28.51,35.08,95.54,84.33,bitsandbytes_int8_success,0.85,0.95,0.2830585759382673,71.97336384170846
deit-base-distilled-384-edge,int4_nf4,DeiT-Base-Distilled-Edge,edge_optimized,87000000.0,28.09,35.6,95.54,84.33,bitsandbytes_int8_success,0.85,0.95,0.28729085083659667,71.97336384170846
deit-small-distilled-224-edge,fp32,DeiT-Small-Distilled-Edge,edge_optimized,22000000.0,3.77,265.0,91.47,83.21,fp32_baseline,0.85,0.95,1.0,0.0
deit-small-distilled-224-edge,fp16,DeiT-Small-Distilled-Edge,edge_optimized,22000000.0,3.94,253.56,50.39,41.61,fp16_half_precision,0.85,0.95,0.9568527918781726,44.91089974855144
deit-small-distilled-224-edge,int8_bitsandbytes,DeiT-Small-Distilled-Edge,edge_optimized,22000000.0,26.91,37.16,29.69,21.36,bitsandbytes_int8_success,0.85,0.95,0.14009661835748793,67.54127036186728
deit-small-distilled-224-edge,int4_nf4,DeiT-Small-Distilled-Edge,edge_optimized,22000000.0,27.11,36.88,29.69,21.36,bitsandbytes_int8_success,0.85,0.95,0.13906307635558834,67.54127036186728
mobilevit-small-edge,fp32,MobileViT-Small-Edge,edge_optimized,5600000.0,4.32,231.33,27.19,18.88,fp32_baseline,0.85,0.95,1.0,0.0
mobilevit-small-edge,fp16,MobileViT-Small-Edge,edge_optimized,5600000.0,4.91,203.67,17.62,9.44,fp16_half_precision,0.85,0.95,0.879837067209776,35.19676351599853
mobilevit-small-edge,int8_bitsandbytes,MobileViT-Small-Edge,edge_optimized,5600000.0,12.76,78.35,14.92,6.68,bitsandbytes_int8_success,0.85,0.95,0.33855799373040757,45.12688488414859
mobilevit-small-edge,int4_nf4,MobileViT-Small-Edge,edge_optimized,5600000.0,12.9,77.54,14.92,6.68,bitsandbytes_int8_success,0.85,0.95,0.33488372093023255,45.12688488414859
